Type,Name,Image_URL,Category,Cuisine,Halal_Status,Famous_Dish,Price_Range,Ticket_Price_Breakdown,Opening_Hours,Address,Description,Accessibility_Info,Public_Transport,Contact_Website
Food,Village Park Restaurant,https://raw.githubusercontent.com/Kearskill/pekom-code-fest/frid/images/village%20park.jpg,,Malay,Muslim-Friendly (Pork-Free),Nasi Lemak Ayam Goreng (Fried Chicken),RM15 - RM25,,Daily: 6:30 AM - 5:30 PM,"5, Jalan SS 21/37, Damansara Utama, 47400 Petaling Jaya, Selangor",Legendary Nasi Lemak famous for its crispy spiced fried chicken and fluffy coconut rice. A favorite of locals and dignitaries alike.,Ground floor shop lot. Accessible entrance but can be very crowded.,MRT Kajang Line: TTDI Station (Take Feeder Bus T813 or Grab).,
Food,Nasi Lemak Wanjo Kg Baru,https://raw.githubusercontent.com/Kearskill/pekom-code-fest/frid/images/nasi%20lemak%20wanjo.jpg,,Malay,Halal,Nasi Lemak with Sambal Sotong & Ayam Goreng,RM10 - RM20,,Daily: 6:00 AM - 12:00 AM,"8, Jalan Raja Muda Musa, Kampung Baru, 50300 Kuala Lumpur",One of the most authentic Nasi Lemak spots in the historic Kampung Baru area. Great for breakfast or late-night supper.,Open-air ground floor seating. Wheelchair accessible.,LRT Kelana Jaya Line: Kampung Baru Station (5-8 min walk).,
Food,Hing Kee Bakuteh,https://raw.githubusercontent.com/Kearskill/pekom-code-fest/frid/images/heng-kee-bak-kut-teh.jpg,,Chinese (Hokkien),Non-Halal,Dry & Soup Bak Kut Teh (Pork Ribs),RM25 - RM40,,Daily: 3:30 PM - 2:30 AM,"121, Jalan Kepong, Metro Prima, 52100 Kuala Lumpur","Michelin Bib Gourmand winner. Famous for its thick, aromatic herbal soup and the dry version with dried chilies and cuttlefish.",Ground floor shop. Wheelchair accessible.,MRT Putrajaya Line: Metro Prima Station (5 min walk).,
Food,Canton Boy,https://raw.githubusercontent.com/Kearskill/pekom-code-fest/frid/images/canton%20boy.jpg,,Chinese (Cantonese),Halal,Har Gao (Prawn Dumpling) & Siew Mai,RM40 - RM60,,Daily: 10:00 AM - 10:00 PM,"Lot G-012B, Ground Floor, MyTOWN Shopping Centre, Jalan Cochrane, 55100 KL",A modern spot serving authentic Halal Dim Sum and Cantonese cuisine. Perfect for Muslim travelers craving Chinese-style breakfast.,Fully wheelchair accessible (Mall elevators and ramps available).,MRT Kajang Line: Cochrane Station (Direct underground link to MyTOWN).,
Food,Kim Lian Kee,https://raw.githubusercontent.com/Kearskill/pekom-code-fest/frid/images/kim%20lian%20kee.jpg,,Chinese (Hokkien),Non-Halal,Charcoal Fried Hokkien Mee (Black Noodles),RM15 - RM25,,Daily: 11:00 AM - 11:00 PM,"92, Jalan Hang Lekir, City Centre, 50000 Kuala Lumpur (Chinatown)",The birthplace of KL Hokkien Mee. Uses charcoal fire to give the noodles a distinctive smoky 'wok hei' flavor. Uses pork lard.,Ground floor seating available (tight space). Upper floor stairs only.,MRT/LRT: Pasar Seni Station (Walk to Petaling Street).,
Food,Ah Mang Mee (Stall No. 8),https://raw.githubusercontent.com/Kearskill/pekom-code-fest/frid/images/ah%20mang%20mee.jpg,,Chinese (Hokkien),Halal,Halal Hokkien Mee (Chicken/Seafood),RM10 - RM18,,Wed-Sun: 4:00 PM - 9:00 PM (Closed Mon/Tue),"Stall No.8, Pusat Penjaja Seksyen 1/12, Jalan Othman, PJ Old Town, 46000 PJ",A rare gem serving authentic-tasting Halal Hokkien Mee using chicken fat/skin instead of pork lard for that classic aroma.,"Hawker centre setting. Ground level, mostly accessible.",Bus: PJ City Bus to PJ Old Town Terminal.,
Food,Sri Nirwana Maju,https://raw.githubusercontent.com/Kearskill/pekom-code-fest/blob/images/Sri%20Nirwana%20Maju.jpg,,Indian (Banana Leaf),Muslim-Friendly (Pork-Free),Banana Leaf Rice with Fried Tenggiri or Chicken Varuval,RM15 - RM30,,Daily: 11:30 AM - 11:00 PM,"43, Jalan Telawi 3, Bangsar, 59100 Kuala Lumpur",Michelin Bib Gourmand. Famous for its long queues and 'Banjir' (flooded) curry style. No official Halal cert but serves no pork.,Ground floor shop. Accessible entrance.,"LRT Kelana Jaya Line: Bangsar Station (Take Grab/Taxi, ~5 mins).",
Food,Sate Kajang Hj Samuri,https://raw.githubusercontent.com/Kearskill/pekom-code-fest/frid/images/Sate%20Kajang%20Hj%20Samuri.jpg,,Malay,Halal,Chicken & Beef Satay with Peanut Sauce,RM1.20 - RM3.00 per stick,,Sat-Thu: 11:00 AM - 11:00 PM; Fri: 3:00 PM - 11:00 PM,"Jalan Hishammuddin, Bandar Kajang, 43000 Kajang, Selangor","The most famous Satay chain in Malaysia. Known for its chunky meat skewers and thick, spicy peanut sauce.",Ground floor/Restaurant setting. Wheelchair accessible.,MRT Kajang Line: Stadium Kajang Station (Walking distance).,
Food,Nam Heong Chicken Rice,https://raw.githubusercontent.com/Kearskill/pekom-code-fest/frid/images/Nam%20Heong%20Chicken%20Rice.webp,,Chinese (Hainanese),Non-Halal,Hainanese Steamed/Roasted Chicken Rice,RM12 - RM20,,Daily: 10:00 AM - 3:00 PM,"56, Jalan Sultan, City Centre, 50000 Kuala Lumpur",A heritage shop in Chinatown. Famous for its silky smooth steamed chicken and fragrant oily rice. Michelin Bib Gourmand.,Ground floor shop. Accessible.,MRT/LRT: Pasar Seni Station (5-10 min walk).,
Food,Nasi Ayam Chee Meng,https://raw.githubusercontent.com/Kearskill/pekom-code-fest/frid/images/Nasi%20Ayam%20Chee%20Meng.jpg,,Chinese (Hainanese),Halal,Roasted Chicken Rice & Kerabu Mangga,RM15 - RM25,,Daily: 11:00 AM - 9:00 PM,"50, Jalan Bukit Bintang, 55100 Kuala Lumpur",A certified Halal Hainanese chicken rice favorite in the heart of Bukit Bintang. Great for tourists and locals.,Ground floor restaurant. Wheelchair accessible.,Monorail/MRT: Bukit Bintang Station (Walking distance).,
